num_entradas,tempo_ms
100,0.02
1000,0.26
10000,2.22
100000,20.31
1000000,189.48
1250000,239.13
15000,1.95
1500000,291.75
200,0.02
2000,0.22
200000,33.82
2000000,394.81
30000,4.41
500,0.05
5000,0.59
50000,7.81
500000,89.98
7500,0.93
75000,11.98
750000,138.37
100,0.01
1000,0.11
10000,1.42
100000,16.54
1000000,188.76
1250000,240.76
15000,2.03
1500000,292.63
200,0.02
2000,0.22
200000,33.98
2000000,394.22
30000,4.39
500,0.06
5000,0.59
50000,7.78
500000,91.03
7500,0.98
75000,11.86
750000,137.94
100,0.01
1000,0.11
10000,1.36
100000,16.17
1000000,189.54
1250000,238.82
15000,2.09
1500000,292.03
200,0.02
2000,0.24
200000,34.12
2000000,395.73
30000,4.47
500,0.05
5000,0.65
50000,7.75
500000,90.94
7500,1.01
75000,12.11
750000,139.29
100,0.01
1000,0.11
10000,1.35
100000,16.36
1000000,189.49
1250000,239.70
15000,2.09
1500000,292.65
200,0.02
2000,0.24
200000,34.32
2000000,397.81
30000,4.53
500,0.05
5000,0.65
50000,7.79
500000,90.35
7500,1.00
75000,11.86
750000,137.95
100,0.01
1000,0.11
10000,1.38
100000,16.18
1000000,190.63
1250000,238.06
15000,2.08
1500000,290.27
200,0.02
2000,0.24
200000,34.36
2000000,395.54
30000,4.39
500,0.05
5000,0.63
50000,7.81
500000,90.16
7500,0.98
75000,12.12
750000,141.97
100,0.01
1000,0.11
10000,1.38
100000,16.41
1000000,190.11
1250000,239.21
15000,2.13
1500000,292.95
200,0.02
2000,0.23
200000,34.08
2000000,397.30
30000,4.47
500,0.05
5000,0.64
50000,7.75
500000,89.86
7500,0.97
75000,11.84
750000,136.43
