num_entradas,tempo_ms
100,0.01
1000,0.11
10000,1.46
100000,16.55
1000000,176.11
1250000,224.68
15000,2.17
1500000,271.68
200,0.02
2000,0.25
200000,33.08
2000000,361.91
30000,4.74
500,0.05
5000,0.69
50000,8.18
500000,84.75
7500,1.07
75000,12.54
750000,129.80
100,0.01
1000,0.11
10000,1.49
100000,16.44
1000000,176.70
1250000,222.67
15000,2.23
1500000,271.54
200,0.02
2000,0.25
200000,33.48
2000000,365.40
30000,4.62
500,0.05
5000,0.67
50000,8.12
500000,85.49
7500,1.04
75000,12.26
750000,130.94
100,0.01
1000,0.11
10000,1.43
100000,16.47
1000000,176.24
1250000,224.31
15000,2.27
1500000,271.86
200,0.02
2000,0.24
200000,33.18
2000000,365.28
30000,4.65
500,0.06
5000,0.68
50000,8.19
500000,84.76
7500,1.04
75000,12.27
750000,129.87
100,0.01
1000,0.11
10000,1.47
100000,16.69
1000000,174.69
1250000,224.18
15000,2.23
1500000,271.68
200,0.02
2000,0.24
200000,33.15
2000000,366.51
30000,4.66
500,0.05
5000,0.66
50000,8.20
500000,85.37
7500,1.03
75000,12.48
750000,129.50
100,0.01
1000,0.12
10000,1.43
100000,16.39
1000000,175.96
1250000,223.56
15000,2.20
1500000,270.44
200,0.02
2000,0.24
200000,33.56
2000000,367.87
30000,4.72
500,0.05
5000,0.67
50000,8.08
500000,85.15
7500,1.03
75000,12.32
750000,130.18
100,0.01
1000,0.11
10000,1.46
100000,16.47
1000000,178.03
1250000,222.50
15000,2.20
1500000,272.26
200,0.02
2000,0.24
200000,33.09
2000000,365.29
30000,4.66
500,0.05
5000,0.68
50000,8.11
500000,85.07
7500,1.07
75000,12.31
750000,129.97
