num_entradas,tempo_ms
100,0.01
1000,0.13
10000,1.70
100000,21.49
1000000,256.30
1250000,325.51
15000,2.56
1500000,393.83
200,0.02
2000,0.31
200000,46.22
2000000,533.58
30000,5.67
500,0.06
5000,0.74
50000,10.14
500000,122.32
7500,1.27
75000,15.66
750000,192.98
100,0.01
1000,0.13
10000,1.76
100000,21.16
1000000,257.15
1250000,325.76
15000,2.61
1500000,394.35
200,0.02
2000,0.28
200000,45.10
2000000,528.84
30000,5.74
500,0.06
5000,0.81
50000,10.05
500000,122.16
7500,1.22
75000,15.67
750000,188.52
100,0.01
1000,0.14
10000,1.71
100000,21.22
1000000,256.67
1250000,325.53
15000,2.64
1500000,392.70
200,0.02
2000,0.30
200000,45.11
2000000,529.32
30000,5.78
500,0.06
5000,0.81
50000,10.08
500000,122.70
7500,1.23
75000,15.65
750000,190.87
100,0.01
1000,0.14
10000,1.77
100000,22.11
1000000,259.24
1250000,323.37
15000,2.66
1500000,392.81
200,0.02
2000,0.28
200000,45.71
2000000,529.30
30000,5.70
500,0.06
5000,0.81
50000,10.10
500000,123.90
7500,1.23
75000,15.63
750000,189.66
100,0.01
1000,0.13
10000,1.69
100000,21.33
1000000,256.44
1250000,324.26
15000,2.65
1500000,393.26
200,0.02
2000,0.28
200000,45.17
2000000,531.43
30000,5.76
500,0.06
5000,0.79
50000,10.06
500000,122.58
7500,1.22
75000,15.55
750000,188.79
100,0.01
1000,0.13
10000,1.74
100000,21.03
1000000,257.04
1250000,325.48
15000,2.72
1500000,394.56
200,0.02
2000,0.29
200000,45.74
2000000,530.06
30000,5.71
500,0.06
5000,0.80
50000,10.07
500000,121.34
7500,1.24
75000,15.47
750000,189.75
