num_entradas,tempo_ms
100,0.0045
1000,0.0309
10000,0.5286
100000,3.8394
1000000,28.6798
1250000,36.8685
15000,0.3827
1500000,45.7087
200,0.0039
2000,0.0367
200000,5.6011
2000000,59.9585
30000,0.8669
500,0.0077
5000,0.1203
50000,1.3093
500000,14.1568
7500,0.1835
75000,2.1470
750000,22.0876

100,0.0032
1000,0.0273
10000,0.3863
100000,3.3057
1000000,29.2012
1250000,37.4453
15000,0.3986
1500000,45.6042
200,0.0031
2000,0.0407
200000,5.5959
2000000,61.3415
30000,0.9057
500,0.0077
5000,0.1143
50000,1.4054
500000,14.0616
7500,0.1974
75000,2.0646
750000,22.1227

100,0.0032
1000,0.0278
10000,0.3961
100000,3.9530
1000000,28.7560
1250000,37.8980
15000,0.4171
1500000,45.7605
200,0.0032
2000,0.0375
200000,5.6082
2000000,60.1055
30000,0.8948
500,0.0085
5000,0.1236
50000,1.4475
500000,14.1838
7500,0.1827
75000,2.0782
750000,22.1849

100,0.0034
1000,0.0275
10000,0.3956
100000,3.4077
1000000,28.9083
1250000,37.4837
15000,0.3939
1500000,45.4854
200,0.0030
2000,0.0408
200000,5.5956
2000000,60.2240
30000,0.8762
500,0.0076
5000,0.1149
50000,1.3652
500000,14.2093
7500,0.1992
75000,2.1170
750000,21.8859

100,0.0031
1000,0.0276
10000,0.4004
100000,3.4331
1000000,31.0858
1250000,37.1862
15000,0.3853
1500000,45.6127
200,0.0032
2000,0.0378
200000,5.5488
2000000,60.0080
30000,0.9408
500,0.0087
5000,0.1289
50000,1.4285
500000,14.2203
7500,0.1921
75000,2.2168
750000,22.0878

100,0.0173
1000,0.0280
10000,0.3850
100000,3.4495
1000000,29.1993
1250000,37.7764
15000,0.4224
1500000,46.8836
200,0.0032
2000,0.0413
200000,5.5434
2000000,61.4862
30000,0.9165
500,0.0078
5000,0.1206
50000,1.3957
500000,13.9733
7500,0.1830
75000,2.1696
750000,21.8603
