num_entradas,tempo_ms
100,0.0017
1000,0.0180
10000,0.2507
100000,2.7530
1000000,28.3272
1250000,36.5244
15000,0.3826
1500000,44.8236
200,0.0038
2000,0.0399
200000,5.5763
2000000,58.8900
30000,0.7850
500,0.0082
5000,0.1131
50000,1.4694
500000,13.8511
7500,0.1790
75000,2.0404
750000,21.4989

100,0.0021
1000,0.0168
10000,0.2678
100000,2.6896
1000000,30.0927
1250000,36.6941
15000,0.4052
1500000,44.7165
200,0.0032
2000,0.0360
200000,5.6121
2000000,58.8964
30000,0.8486
500,0.0083
5000,0.1213
50000,1.4203
500000,13.7819
7500,0.1961
75000,2.0084
750000,21.4596

100,0.0016
1000,0.0165
10000,0.2757
100000,2.7498
1000000,29.1367
1250000,36.6025
15000,0.3775
1500000,46.4441
200,0.0030
2000,0.0399
200000,5.7313
2000000,62.1147
30000,0.7959
500,0.0085
5000,0.1133
50000,1.5052
500000,14.4365
7500,0.1784
75000,2.0240
750000,21.4330

100,0.0019
1000,0.0165
10000,0.2985
100000,2.6770
1000000,28.6447
1250000,36.8128
15000,0.3898
1500000,44.9725
200,0.0036
2000,0.0403
200000,5.5003
2000000,59.3846
30000,0.8928
500,0.0084
5000,0.1204
50000,1.3855
500000,13.7980
7500,0.1946
75000,2.2078
750000,21.4205

100,0.0016
1000,0.0177
10000,0.2934
100000,2.6835
1000000,28.1291
1250000,38.0415
15000,0.3929
1500000,46.2921
200,0.0034
2000,0.0396
200000,5.4951
2000000,59.1162
30000,0.7955
500,0.0083
5000,0.1137
50000,1.3536
500000,13.7158
7500,0.1787
75000,1.9948
750000,21.5001

100,0.0019
1000,0.0170
10000,0.2943
100000,2.7364
1000000,28.1957
1250000,36.7915
15000,0.3936
1500000,45.0568
200,0.0030
2000,0.0399
200000,5.6864
2000000,59.0655
30000,0.7630
500,0.0077
5000,0.1125
50000,1.3907
500000,13.8018
7500,0.1908
75000,2.0145
750000,21.7886
