num_entradas,tempo_ms
100,0.0045
1000,0.0205
10000,0.2980
100000,2.6995
1000000,28.3476
1250000,36.4877
15000,0.3838
1500000,47.2107
200,0.0045
2000,0.0424
200000,5.6516
2000000,59.1939
30000,0.7985
500,0.0110
5000,0.1367
50000,1.3931
500000,13.7478
7500,0.1853
75000,2.0703
750000,21.5604

100,0.0041
1000,0.0201
10000,0.2765
100000,2.6961
1000000,29.9353
1250000,36.5587
15000,0.4106
1500000,45.0887
200,0.0059
2000,0.0389
200000,5.4761
2000000,60.3135
30000,0.8498
500,0.0107
5000,0.1139
50000,1.3578
500000,14.2433
7500,0.1920
75000,2.0608
750000,21.7430

100,0.0036
1000,0.0191
10000,0.2545
100000,2.7122
1000000,28.4230
1250000,36.8618
15000,0.4802
1500000,44.8562
200,0.0051
2000,0.0434
200000,5.4975
2000000,62.9740
30000,0.8650
500,0.0113
5000,0.1156
50000,1.3465
500000,13.8250
7500,0.1865
75000,2.0472
750000,21.6201

100,0.0039
1000,0.0204
10000,0.2720
100000,2.7822
1000000,28.6328
1250000,38.2590
15000,0.4108
1500000,44.9480
200,0.0052
2000,0.0390
200000,5.6260
2000000,105.4902
30000,0.9147
500,0.0112
5000,0.1235
50000,1.3708
500000,14.0442
7500,0.2033
75000,2.0826
750000,21.4612

100,0.0045
1000,0.0208
10000,0.2706
100000,2.7299
1000000,28.2917
1250000,36.3330
15000,0.3797
1500000,45.3078
200,0.0050
2000,0.0387
200000,5.4693
2000000,59.4273
30000,0.7792
500,0.0098
5000,0.1163
50000,1.3683
500000,13.7402
7500,0.1929
75000,2.0376
750000,21.4889

100,0.0038
1000,0.0206
10000,0.2778
100000,2.7515
1000000,28.5717
1250000,36.6346
15000,0.3999
1500000,46.1506
200,0.0051
2000,0.0422
200000,5.4720
2000000,59.2974
30000,0.7686
500,0.0115
5000,0.1149
50000,1.3720
500000,14.4898
7500,0.1855
75000,2.0732
750000,21.6599
