num_entradas,tempo_ms
100,0.0048
1000,0.0587
10000,0.7762
100000,7.4778
1000000,78.6243
1250000,97.8236
15000,1.1913
1500000,116.9914
200,0.0101
2000,0.1282
200000,15.1865
2000000,156.2186
30000,2.2647
500,0.0278
5000,0.3975
50000,3.8280
500000,38.3216
7500,0.5190
75000,5.8396
750000,58.8033

100,0.0050
1000,0.0639
10000,0.7562
100000,7.9108
1000000,78.8110
1250000,99.1107
15000,1.1014
1500000,116.8440
200,0.0119
2000,0.1530
200000,15.1682
2000000,156.9837
30000,2.2821
500,0.0300
5000,0.3399
50000,3.9182
500000,38.5773
7500,0.5253
75000,5.7620
750000,58.6057

100,0.0056
1000,0.0646
10000,0.7710
100000,7.7970
1000000,78.7829
1250000,97.6856
15000,1.0995
1500000,116.9975
200,0.0130
2000,0.1396
200000,15.2113
2000000,156.9162
30000,2.2252
500,0.0272
5000,0.3405
50000,3.6547
500000,38.9023
7500,0.5565
75000,5.6920
750000,58.7005

100,0.0053
1000,0.0633
10000,0.7629
100000,7.6565
1000000,78.7595
1250000,97.7354
15000,1.0673
1500000,118.8672
200,0.0131
2000,0.1263
200000,15.2755
2000000,156.9306
30000,2.2664
500,0.0305
5000,0.3397
50000,3.8636
500000,38.5943
7500,0.5608
75000,5.7027
750000,59.2356

100,0.0061
1000,0.0595
10000,0.7026
100000,7.7022
1000000,78.2185
1250000,98.5912
15000,1.1068
1500000,116.9533
200,0.0106
2000,0.1403
200000,15.1225
2000000,158.6012
30000,2.2513
500,0.0280
5000,0.3406
50000,3.8430
500000,38.9247
7500,0.5246
75000,5.6593
750000,58.9255

100,0.0046
1000,0.0602
10000,0.7727
100000,7.6819
1000000,78.5408
1250000,98.2097
15000,1.1073
1500000,117.0138
200,0.0125
2000,0.1292
200000,15.2821
2000000,157.3291
30000,2.2652
500,0.0279
5000,0.3397
50000,3.8392
500000,38.7240
7500,0.5096
75000,5.7431
750000,58.8875
